Name,Description,Planning Method,Training Data,End-effector Hardware,Object Configuration,Input Data,Output Pose,"Corresponding Dataset
(see repository linked above)","Simulator
(see repository linked above)",Backbone,Metric(s) Used ,Camera Position(s),Language,Link(s),License,Maintainer(s),Citation,Year (Initial Release),Implement in ROS2?,COMPARE Status?
Deep Dexterous Grasping in Clutter (DDGC),"Deep Dexterous Grasping in Clutter (DDGC) takes an RGB image of the complete scene and the mask of the object to grasp and predicts a multi-fingered robotic grasp on the target objects. First, the objects' shapes are completed. Next, grasps are generated on the target object by first feeding the RGB image and the mask through an image encoder, and based on the image encoding 6D multi-finger grasp poses and configurations are generated. Finally, the hand is refined to be close to the surface of the target object but not in collision with it by using our parameter-free fully differentiable barrett kinematics layer.",Sampling,Sim,Three-finger,Structured,RGBD image,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,"PyBullet, GraspIt!",,"ε-quality grasps (10 top-scoring), Average clearance rate, Average grasp success rate, Grasp sampling time (10 grasps)",Oblique view ,"Python, PyTorch","https://github.com/aalto-intelligent-robotics/DDGC 

https://irobotics.aalto.fi/ddgc/ ",MIT,Aalto University Intelligent Robotics,"Lundell, Jens, Francesco Verdoja, and Ville Kyrki. ""Ddgc: Generative deep dexterous grasping in clutter."" IEEE Robotics and Automation Letters 6, no. 4 (2021): 6899-6906.",2021,,
DeepRLManip,Our approach is to formulate the problem as a Markov decision process (MDP) with abstract yet generally applicable state and action representations. Finding a good solution to the MDP requires adding constraints on the allowed actions. We develop a specific set of constraints called hierarchical SE(3) sampling (HSE3S) which causes the robot to learn a sequence of gazes to focus attention on the task-relevant parts of the scene.,Reinforcement learning,Sim,Two-finger,Structured,Depth image,Grasp policy,Custom,OpenRAVE,DQN with gradient Monte Carlo,Average grasp success rate,Eye-in-hand,"Python, MATLAB",https://github.com/mgualti/DeepRLManip ,MIT,Marcus Gualtieri,"Gualtieri, Marcus, and Robert Platt. ""Learning 6-dof grasping and pick-place using attention focus."" In Conference on Robot Learning, pp. 477-486. PMLR, 2018.",2018,,
Dex-Net 1.0 (MV-CNNs),"The Dexterity Network (Dex-Net) is a research project including code, datasets, and algorithms for generating datasets of synthetic point clouds, robot parallel-jaw grasps and metrics of grasp robustness based on physics for thousands of 3D object models to train machine learning-based methods to plan robot grasps.","Sampling, Exemplar methods",Sim,Two-finger,Singulated,3D object model mesh,3D position and approach vector,DexNet 1.0,AUTOLAB,AlexNet,Probability of force closure,Overhead,"Python, TensorFlow",https://github.com/BerkeleyAutomation/dex-net ,Apache 2.0,Berkeley Automation Lab,"Mahler, Jeffrey, Florian T. Pokorny, Brian Hou, Melrose Roderick, Michael Laskey, Mathieu Aubry, Kai Kohlhoff, Torsten Kröger, James Kuffner, and Ken Goldberg. ""Dex-net 1.0: A cloud-based network of 3d objects for robust grasp planning using a multi-armed bandit model with correlated rewards."" In 2016 IEEE international conference on robotics and automation (ICRA), pp. 1957-1964. IEEE, 2016.",2016,,
Dex-Net 2.0 (GQ-CNN),The gqcnn Python package is for training and analysis of Grasp Quality Convolutional Neural Networks (GQ-CNNs). It is part of the ongoing Dexterity-Network (Dex-Net) project created and maintained by the AUTOLAB at UC Berkeley.,Direct regression,Real,Two-finger,Singulated,Depth image,"""2D grasp rectangle (x, y, width, height, angle)"", Grasp success probability",DexNet 2.0,AUTOLAB,None,"Image-based Grasp Quality (IGQ), Grasp success rate, Precision, Robust grasp rate, Planning time",Overhead,"Python, TensorFlow","https://github.com/BerkeleyAutomation/gqcnn 

https://berkeleyautomation.github.io/gqcnn/ ",,Berkeley Automation Lab,"Mahler, Jeffrey, Jacky Liang, Sherdil Niyaz, Michael Laskey, Richard Doan, Xinyu Liu, Juan Aparicio Ojea, and Ken Goldberg. ""Dex-net 2.0: Deep learning to plan robust grasps with synthetic point clouds and analytic grasp metrics."" arXiv preprint arXiv:1703.09312 (2017).",2017,,"Huajing: Tried implementation in Local Ubuntu 16.04
- TensorFlow 1.x + Python 2 issues; deprecated dependencies; 
- Partial success running GQ-CNN: Trained model works partially,  ROS integration untested"
Dex-Net 2.1,"We model bin picking with a discrete-time Partially Observable Markov Decision Process that specifies states of the heap, point cloud observations, and rewards. We collect synthetic demonstrations of bin picking from an algorithmic supervisor uses full state information to optimize for the most robust collision-free grasp in a forward simulator based on pybullet to model dynamic object-object interactions and robust wrench space analysis from the Dexterity Network (Dex-Net) to model quasi-static contact between the gripper and object. ",Reinforcement learning,Sim,Two-finger,Piled,Rollouts,Grasp policy,DexNet 2.1,PyBullet,None,"Grasp success rate, Average clearance rate, Picks per Hour (PPH), Average Precision",Overhead,,http://bit.ly/3XxKVro ,,Berkeley Automation Lab,"Mahler, Jeffrey, and Ken Goldberg. ""Learning deep policies for robot bin picking by simulating robust grasping sequences."" In Conference on robot learning, pp. 515-524. PMLR, 2017.",2017,,
Dex-Net 3.0,"We propose a compliant suction contact model that computes the quality of the seal between the suction cup and target object and determines whether or not the suction grasp can resist an external wrench (e.g. gravity) on the object. To evaluate a grasp, we measure robustness to perturbations in end-effector and object pose, material properties, and external wrenches. We train a Grasp Quality Convolutional Neural Network (GQ-CNN) on this dataset to classify suction grasp robustness from point clouds. ",Direct regression,Sim,Suction,Singulated,Point cloud,Grasp policy,DexNet 3.0,N/A,None,"Grasp success rate, Planning time, Average Precision",Overhead,,http://bit.ly/3XEPVuo ,,Berkeley Automation Lab,"Mahler, Jeffrey, Matthew Matl, Xinyu Liu, Albert Li, David Gealy, and Ken Goldberg. ""Dex-net 3.0: Computing robust vacuum suction grasp targets in point clouds using a new analytic model and deep learning."" In 2018 IEEE International Conference on robotics and automation (ICRA), pp. 5620-5627. IEEE, 2018.",2018,,
Dex-Net 4.0,"We present Dexterity Network (Dex-Net) 4.0, a substantial extension to previous versions of Dex-Net that learns policies for a given set of grippers by training on synthetic datasets using domain randomization with analytic models of physics and geometry. We train policies for a parallel-jaw and a vacuum-based suction cup gripper on 5 million synthetic depth images, grasps, and rewards generated from heaps of three-dimensional objects. ",Reinforcement learning,Sim,"Two-finger, Suction",Piled,Depth image,Grasp policy,DexNet 4.0,N/A,None,"Grasp success rate, Average clearance rate, Picks per Hour (PPH), Average Precision",Overhead,,http://bit.ly/3ViM4BG ,,Berkeley Automation Lab,"Mahler, Jeffrey, Matthew Matl, Vishal Satish, Michael Danielczuk, Bill DeRose, Stephen McKinley, and Ken Goldberg. ""Learning ambidextrous robot grasping policies."" Science Robotics 4, no. 26 (2019): eaau4984.",2019,,
DexDiffuser,"We introduce DexDiffuser, a novel dexterous grasping method that generates, evaluates, and refines grasps on partial object point clouds","Generative, Grasp evaluation + Sampler",Sim,Multi-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)"", Dexterous grasp",DexGraspNet,Issac-Gym,,"Diversity, Maximum penetration",Oblique view,Python,"https://github.com/YuLiHN/DexDiffuser 

https://yulihn.github.io/DexDiffuser_page/ ",MIT,Heofei Lu,"Weng, Zehang, Haofei Lu, Danica Kragic, and Jens Lundell. ""Dexdiffuser: Generating dexterous grasps with diffusion models."" IEEE Robotics and Automation Letters (2024).",2024,,
DexGrasp Anything,"DexGrasp Anything is a method that effectively integrates physical constraints into both the training and sampling phases of a diffusion-based generative model for multi-finger dexterous hand grasp generation, achieving state-of-the-art performance across nearly all open datasets.",Generative,"Sim, Real",Multi-finger,Singulated,Point cloud,Dexterous grasp,DexGrasp-Anything,,PointTransformer,"Grasp success rate, Maximum penetration, Diversity",,"PyTorch, Python","https://github.com/4DVLab/DexGrasp-Anything 

https://dexgraspanything.github.io/ ",MIT,"4DVLab, ShanghaiTech University","Zhong, Yiming, Qi Jiang, Jingyi Yu, and Yuexin Ma. ""Dexgrasp anything: Towards universal robotic dexterous grasping with physics awareness."" In Proceedings of the Computer Vision and Pattern Recognition Conference, pp. 22584-22594. 2025.",2025,,
Edge Grasp Network,Edge Grasp Network is a novel method and neural network model that enables better grasp success rates relative to what is available in the literature. The method takes standard point cloud data as input and works well with single-view point clouds observed from arbitrary viewing directions.,Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,PyBullet,PointNet,"Grasp success rate, Declutter rate",Eye-in-hand,Python,https://github.com/HaojHuang/Edge-Grasp-Network ,MIT,Haojie Huang,"Huang, Haojie, Dian Wang, Xupeng Zhu, Robin Walters, and Robert Platt. ""Edge grasp network: A graph-based se (3)-invariant approach to grasp detection."" In 2023 IEEE International Conference on Robotics and Automation (ICRA), pp. 3882-3888. IEEE, 2023.",2023,Selected (Shambhuraj),
EquiGraspFlow,"EquiGraspFlow is a flow-based SE(3)-equivariant 6-DoF grasp pose generative model that can learn complex conditional distributions on the SE(3) manifold while guaranteeing SE(3)-equivariance. Our model achieves the equivariance without relying on data augmentation, by using network architectures that guarantee it by construction.",Sampling,Sim,Two-finger,Structured,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",ACRONYM,Isaac-Gym,VN-DGCNN,"Grasp success rate, Earth Mover’s Distance (EMD)",Eye-in-hand,Python,"https://github.com/bdlim99/EquiGraspFlow 

https://equigraspflow.github.io/ ",MIT,Byeongdo Lim,"Lim, Byeongdo, Jongmin Kim, Jihwan Kim, Yonghyeon Lee, and Frank C. Park. ""Equigraspflow: Se (3)-equivariant 6-dof grasp pose generative flows."" In 8th Annual Conference on Robot Learning. 2024.",2024,,
Equivariant Volumetric Grasping,"Equivariant Volumetric Grasping is a volumetric 6-DoF grasping backbone (Equivariant Tri-plane UNet) that is equivariant to 90° rotations around the vertical (table) axis. It projects a TSDF volume onto three planes (XY, XZ, YZ), processes them with a mix of C₄-equivariant and reflection-invariant 2D UNets plus a new deformable steerable convolution, and then plugs this backbone into two existing volumetric grasp planners, GIGA and IGD, producing EquiGIGA and EquiIGD. These equivariant versions achieve higher grasp success and declutter rates in cluttered tabletop scenes (packed & pile) in both simulation (PyBullet) and real-world experiments.","Direct regression, Generative",Sim,Two-finger,Cluttered,Truncated Signed Distance Function (TSDF),"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,PyBullet,UNet,"Grasp success rate, Maximum penetration, Entropy, Unique grasping rate",Overhead,Python,"https://mousecpn.github.io/evg-page/ 

https://github.com/mousecpn/Equivariant-Volumetric-Grasping ",Apache 2.0,Pinhao Song,"Song, Pinhao, Yutong Hu, Pengteng Li, and Renaud Detry. ""Equivariant Volumetric Grasping."" arXiv preprint arXiv:2507.18847 (2025).",2025,,
FoundationGrasp,"A foundation model-based TOG (Task oriented grasping) framework that leverages the open-ended knowledge from foundation models to learn generalizable TOG skills. Built on top of the public TOG benchmark TaskGrasp dataset, we contribute a multi-modal TOG dataset, Language and Vision Augmented TaskGrasp (LaViATaskGrasp) dataset, to support the training and evaluation of generalizable TOG methods.",Grasp evaluation + Sampler,Sim,Two-finger,Singulated,"RGBD image, Point cloud, Natural language, Grasp",Grasp success probability,Language and Vision Augmented TaskGrasp (LaViA-TaskGrasp),,,Grasp success rate,,"Python, PyTorch","https://github.com/mkt1412/GraspGPT_public  

https://sites.google.com/view/foundationgrasp ",,,"Tang, Chao, Dehao Huang, Wenlong Dong, Ruinian Xu, and Hong Zhang. ""Foundationgrasp: Generalizable task-oriented grasping with foundation models."" IEEE Transactions on Automation Science and Engineering (2025).",2025,,
GCNGrasp,"The GCNGrasp framework uses the semantic knowledge of objects and tasks encoded in a knowledge graph to generalize to new object instances, classes and even new tasks. Our framework shows a significant improvement of around 12% on held-out settings compared to baseline methods which do not use semantics.",Sampling,Sim,Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",TaskGrasp,Open3D,PointNet++,,Eye-in-hand,"Python, PyTorch","https://github.com/adithyamurali/TaskGrasp 

https://sites.google.com/view/taskgrasp ",MIT,Adithya Murali,"Murali, Adithyavairavan, Weiyu Liu, Kenneth Marino, Sonia Chernova, and Abhinav Gupta. ""Same object, different grasps: Data and semantic knowledge for task-oriented grasping."" In Conference on robot learning, pp. 1540-1557. PMLR, 2021.",2021,Selected (Shambhuraj),
geometric-object-grasper,This repository is an implementation of the paper 'A Geometric Approach for Grasping Unknown Objects with Multi-Fingered Hands' in PyBullet. Note that this is a Python implementation and as a result it runs slower than the initial C++ implementation.,Analytical,Sim,Three-finger,Piled,Point cloud,Grasp preshape,Custom,MuJoCo,VAE,Grasp success rate,Oblique view ,"Python, PyTorch",https://github.com/mkiatos/geometric-object-grasper ,,Marios Kiatos,"Kiatos, Marios, Sotiris Malassiotis, and Iason Sarantopoulos. ""A geometric approach for grasping unknown objects with multifingered hands."" IEEE Transactions on Robotics 37, no. 3 (2020): 735-746.",2021,,
GeomPickPlace,"This approach uses (a) object instance segmentation and shape completion to model the objects and (b) a regrasp planner to decide grasps and places displacing the models to their goals. It is critical for the planner to account for uncertainty in the perceived models, as object geometries in unobserved areas are just guesses, so we account for perceptual uncertainty by incorporating it into the regrasp planner's cost function. 
",Analytical,Sim,Two-finger,Structured,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,OpenRAVE ,PointNet,"Place success rate, Grasp success rate, Number of grasp attempts, Number of re-grasps, Packing height of 5 cm",Overhead,"Python, TensorFlow",https://github.com/mgualti/GeomPickPlace ,MIT,Marcus Gualteri,"Gualtieri, Marcus, and Robert Platt. ""Robotic pick-and-place with uncertain object instance segmentation and shape completion."" IEEE robotics and automation letters 6, no. 2 (2021): 1753-1760.",2021,,
ggcnn_plus,"In this work, we focus on improving an existing shallow network, GG-CNN, and propose a new orthographic pipeline to enable the use of these models independently of the orientation of the camera.",Direct regression,Sim,Two-finger,Singulated,RGBD image,"""2D grasp rectangle (x, y, width, height, angle)""",Cornell Grasping Dataset,PyBullet,,,,"Python, Keras",https://github.com/m-rios/ggcnn_plus ,,Mario Rios Munoz,"Rios Munoz, Mario. ""Grasping in 6DoF: An Orthographic Approach to Generalized Grasp Affordance Predictions."" PhD dissertation, 2021.",2021,,
Goal-Auxiliary Deep Deterministic Policy Gradient (GA-DDPG),"We propose a new method for learning closed-loop control policies for 6D grasping. Our policy takes a segmented point cloud of an object from an egocentric camera as input, and outputs continuous 6D control actions of the robot gripper for grasping the object. We combine imitation learning and reinforcement learning and introduce a goal-auxiliary actor-critic algorithm for policy learning.",Reinforcement learning,Sim,Two-finger,Singulated,Point cloud,Grasp policy,ACRONYM,PyBullet,PointNet++,"Grasp success rate, Number of grasp attempts",Eye-in-hand,"Python, PyTorch","https://github.com/liruiw/GA-DDPG 

https://sites.google.com/view/gaddpg ",MIT,Lirui (Leroy) Wang,"Wang, Lirui, Yu Xiang, Wei Yang, Arsalan Mousavian, and Dieter Fox. ""Goal-auxiliary actor-critic for 6d robotic grasping with point clouds."" In Conference on Robot Learning, pp. 70-80. PMLR, 2022.",2022,,
GRAFF (Grasp-Affordances),"GRAFF is a deep RL dexterous robotic grasping policy that uses visual affordance priors learnt from humans for functional grasping. Our proposed model, called GRAFF for Grasp-Affordances, consists of two stages. First, we train a network to predict affordance regions from static images. Second, we train a dynamic grasping policy using the learned affordances. The key upshots of our approach are better grasping, faster learning, and generalization to successfully grasp objects unseen during policy training.",Reinforcement learning,Sim,Multi-finger,Singulated,RGBD image,Grasp policy,Custom,"MuJoCo, Open3D",ResNet-50,,Eye-in-hand,"Python, TensorFlow, PyTorch","https://github.com/priyankamandikal/graff 

https://vision.cs.utexas.edu/projects/graff-dexterous-affordance-grasp/ ",MIT,Priyanka Mandikal,"Mandikal, Priyanka, and Kristen Grauman. ""Learning dexterous grasping with object-centric visual affordances."" In 2021 IEEE international conference on robotics and automation (ICRA), pp. 6169-6176. IEEE, 2021.",2021,,
Grasp detection via Implicit Geometry and Affordance (GIGA),"GIGA is a network that jointly detects 6 DOF grasp poses and reconstruct the 3D scene. GIGA takes advantage of deep implicit functions, a continuous and memory-efficient representation, to enable differentiable training of both tasks. GIGA takes as input a Truncated Signed Distance Function (TSDF) representation of the scene, and predicts local implicit functions for grasp affordance and 3D occupancy. By querying the affordance implict functions with grasp center candidates, we can get grasp quality, grasp orientation and gripper width at these centers.",Sampling,Sim,Two-finger,Piled,Truncated Signed Distance Function (TSDF),"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,"PyBullet, Open3D",ConvONets,,Eye-in-hand,"Python, PyTorch","https://github.com/UT-Austin-RPL/GIGA 

https://sites.google.com/view/rpl-giga2021 ",MIT,UT Robot Perception and Learning Lab,"Jiang, Zhenyu, Yifeng Zhu, Maxwell Svetlik, Kuan Fang, and Yuke Zhu. ""Synergies between affordance and geometry: 6-dof grasp detection via implicit representations."" arXiv preprint arXiv:2104.01542 (2021).",2021,,
Grasp Pose Detection (GPD),"Grasp Pose Detection (GPD) is a package to detect 6-DOF grasp poses (3-DOF position and 3-DOF orientation) for a 2-finger robot hand (e.g., a parallel jaw gripper) in 3D point clouds. GPD takes a point cloud as input and produces pose estimates of viable grasps as output. The main strengths of GPD are: works for novel objects (no CAD models required for detection), works in dense clutter, and outputs 6-DOF grasp poses (enabling more than just top-down grasps).",Sampling,Sim,Two-finger,Piled,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Custom,OpenRAVE,3DNet,"Number of objects, Number of grasp attempts, Number of successful grasps, Percentage of successful grasps, Percentage of objects removed",Eye-in-hand,"C++, Python, PyTorch",https://github.com/atenpas/gpd ,BSD 2-Clause,Andreas Ten Pas,"Ten Pas, Andreas, Marcus Gualtieri, Kate Saenko, and Robert Platt. ""Grasp pose detection in point clouds."" The International Journal of Robotics Research 36, no. 13-14 (2017): 1455-1473.",2017,Selected (Brian),Brian integrating for ROS 1
Grasp Proposal Network (GPNet),"The end-to-end Grasp Proposal Network (GPNet) predicts a diverse set of 6-DOF grasps for an unseen object observed from a single and unknown camera view. GPNet builds on a key design of grasp proposal module that defines anchors of grasp centers at discrete but regular 3D grid corners, which is flexible to support either more precise or more diverse grasp predictions. ",Direct regression,Sim,Two-finger,Singulated,Point cloud,"""6-DoF grasp pose (x, y, z, r, p, y)""",Grasp Proposal Network (GPNet),PyBullet,PointNet++,"Grasp success rate, Coverage rate",Agnostic,"Python, PyTorch",https://github.com/Gorilla-Lab-SCUT/GPNet ,,South China University of Technology,"Wu, Chaozheng, Jian Chen, Qiaoyu Cao, Jianchi Zhang, Yunxin Tai, Lin Sun, and Kui Jia. ""Grasp proposal networks: An end-to-end solution for visual learning of robotic grasps."" Advances in Neural Information Processing Systems 33 (2020): 13174-13184.",2020,,
